Name,Geometry,Latitude (generated),Longitude (generated),test_positivity1
Thakurgaon,Polygon,25.96576506,88.35110908,19.53
Tangail,Polygon,24.341484,89.9895142,5.48
Sylhet,Polygon,24.9025081,91.98205703,7.62
Sunamganj,Polygon,24.89451293,91.35306949,5.37
Sirajganj,Polygon,24.42299874,89.57200291,11.1
Sherpur,Polygon,25.07063654,90.09078588,4.82
Shariatpur,MultiPolygon,23.23086159,90.42266635,9.25
Satkhira,MultiPolygon,22.19304966,89.16351971,6.91
Rangpur,Polygon,25.61424979,89.23103064,7.2
Rangamati,Polygon,22.81647197,92.30747205,16.76
Rajshahi,Polygon,24.49583048,88.68385633,10.91
Rajbari,Polygon,23.70426224,89.56214212,16.19
Pirojpur,MultiPolygon,22.54857251,90.00433297,9.88
Patuakhali,MultiPolygon,22.10442803,90.39711052,7.26
Panchagarh,Polygon,26.31992915,88.55602381,27.14
Pabna,Polygon,24.09347654,89.37558424,3.01
Noakhali,MultiPolygon,22.63537722,91.12961896,6.61
Nilphamari,Polygon,26.01982964,88.92523755,6.15
Netrakona,Polygon,24.87668128,90.8547929,8.29
Nawabganj,Polygon,24.76913194,88.34359145,6.76
Natore,Polygon,24.41558704,89.08431625,13.16
Narsingdi,Polygon,23.98534055,90.74062056,7.46
Narayanganj,Polygon,23.74804371,90.57911037,11.51
Narail,Polygon,23.122612,89.59084444,11.23
Naogaon,Polygon,24.86289464,88.75435972,3.99
Mymensingh,Polygon,24.73528459,90.46292582,10.82
Munshiganj,Polygon,23.53500063,90.44248948,15.05
Meherpur,Polygon,23.79149604,88.69069059,7.38
Maulvibazar,Polygon,24.48353236,91.92137743,7.77
Manikganj,Polygon,23.87645903,89.97929691,4.81
Magura,Polygon,23.43160728,89.42346398,9.25
Madaripur,Polygon,23.20704764,90.16506768,6.79
Lalmonirhat,MultiPolygon,26.16886549,89.16322934,7.41
Lakshmipur,MultiPolygon,22.9237176,90.85256896,6.41
Kushtia,Polygon,23.90139354,89.01903645,17.12
Kurigram,MultiPolygon,25.90851127,89.65764293,9.06
Kishoreganj,Polygon,24.41020211,90.95619751,8.74
Khulna,MultiPolygon,22.28061576,89.42989408,8.36
Khagrachhari,Polygon,23.19168411,91.9030906,6.36
Joypurhat,Polygon,25.07062233,89.07728007,5.2
Jhenaidah,Polygon,23.45534059,89.02936759,20.16
Jhalokati,Polygon,22.56471883,90.17849131,3.55
Jessore,Polygon,23.09170091,89.16567953,7.01
Jamalpur,Polygon,24.94747583,89.88708003,6.12
Habiganj,Polygon,24.37425899,91.41322413,4.95
Gopalganj,Polygon,23.13595248,89.91432515,9.19
Gazipur,Polygon,24.08702906,90.41977196,11.24
Gaibandha,Polygon,25.32496896,89.46515151,9.17
Feni,MultiPolygon,22.96484591,91.39972774,7.53
Faridpur,Polygon,23.45402438,89.80540292,14.94
Dinajpur,Polygon,25.57526552,88.84539052,12.14
Dhaka,Polygon,23.81525416,90.21738745,11.72
Cox's Bazar,MultiPolygon,21.51376292,92.06982609,10.99
Comilla,Polygon,23.44395861,91.00410797,4.25
Chuadanga,Polygon,23.5700259,88.83369574,13.79
Chittagong,MultiPolygon,22.42491629,91.82539371,8.69
Chandpur,MultiPolygon,23.23447398,90.7206662,6.76
Brahamanbaria,Polygon,23.93621658,91.10205817,5.81
Bogra,Polygon,24.80102865,89.30314848,10.84
Bhola,MultiPolygon,22.33092155,90.74393373,11.88
Barisal,MultiPolygon,22.80039843,90.41747476,9.05
Barguna,MultiPolygon,22.14861963,90.12771516,4.78
Bandarban,Polygon,21.71529005,92.27439407,16.67
Bagerhat,MultiPolygon,22.17468489,89.71379657,5.46
